,Unnamed: 0,Title,BillNumber,DocketNumber,DocumentText,List References,MGL,combined_MGL,length_MGL
0,0,An Act relative to collective bargaining rights for legislative employees,H3069,HD2435,"	SECTION 1. Section 1 of Chapter 150E of the General Laws, as appearing in the 2020 Official Edition, is hereby amended by inserting after the word “executive”, in line 10, the following:- , legislative, 
	SECTION 2. Said section 1 of said chapter 150E, as so appearing, is hereby further amended by inserting after the definition of ""Legislative body"",  the following paragraphs:-
	""Legislative employees"", all employees of the general court, including, but not limited to, legislative personnel employees, employees of committees, caucuses, legislative information services, the house and senate business offices, the engrossing division, the house and senate clerk's offices, the house and senate counsel's offices and the house and senate human resources offices.
	""Legislative personal employees,"" general court employees whom the house speaker or senate president has approved for employment in the office of a particular senator or representative at the request of said senator or representative.
	SECTION 3.  Section 3 of said chapter 150E, as so appearing, is hereby amended by inserting after the third paragraph the following paragraphs:-
	Appropriate bargaining units in the senate may include all legislative employees; provided, however, that (1) in the case of legislative personal employees, legislative employees within the senate president's office, the senate minority leader's office, the office of the chair of the senate ways and means committee, the senate clerk's office, or senate counsel's office may be managerial or confidential employees that are excluded from the bargaining unit if said employees are managerial or confidential employees as defined in section 1; and (2) in the case of all other legislative employees, said employees may be excluded from a bargaining unit if said employees as managerial or confidential employees as defined in section 1.
	Appropriate bargaining units in the house may include all legislative employees; provided, however, that (1) in the case of legislative personal employees, legislative employees within the house speaker's office, the house minority leader's office, the office of the chair of the house ways and means committee, the house clerk's office, or house counsel's office may be managerial or confidential employees that are excluded from the bargaining unit if said employees are managerial or confidential employees as defined in section 1; and (2) in the case of all other legislative employees, said employees may be excluded from a bargaining unit if said employees as managerial or confidential employees as defined in section 1.
	SECTION 4. Section 23 of chapter 268A of the General Laws is hereby amended by striking out the word "";and (iv) establishing additional exclusions for other situations that do not present a genuine risk of a conflict or the appearance of a conflict of interest"" and inserting in place thereof the following words:-  ;(iv) establishing additional exclusions for other situations that do not present a genuine risk of conflict or the appearance of a conflict of interest; and (v) establishing specific exemptions, exclusions and procedures for curing particular perceptions of a conflict of interest as they may apply to exclusive representatives under chapter 150E.
","[['1', '150E'], ['23', '268A']]","[""Section 1. The following words and phrases as used in this chapter shall have the following meaning unless the context clearly requires otherwise:&mdash;  \r\n\r\n''Board'', the board of conciliation and arbitration established under section seven of chapter twenty-three.  \r\n\r\n''Commission'', the labor relations commission established under section nine O of chapter twenty-three.  \r\n\r\n''Cost items'', the provisions of a collective bargaining agreement which require an appropriation by a legislative body.  \r\n\r\n''Employee'' or ''public employee'', any person in the executive or judicial branch of a government unit employed by a public employer except elected officials, appointed officials, members of any board or commission, representatives of any public employer, including the heads, directors and executive and administrative officers of departments and agencies of any public employer, and other managerial employees or confidential employees, and members of the militia or national guard and employees of the commission, and officers and employees within the departments of the state secretary, state treasurer, state auditor and attorney general.  Employees shall be designated as managerial employees only if they (a) participate to a substantial degree in formulating or determining policy, or (b) assist to a substantial degree in the preparation for or the conduct of collective bargaining on behalf of a public employer, or (c) have a substantial responsibility involving the exercise of independent judgment of an appellate responsibility not initially in effect in the administration of a collective bargaining agreement or in personnel administration. Employees shall be designated as confidential employees only if they directly assist and act in a confidential capacity to a person or persons otherwise excluded from coverage under this chapter. In the case of employees of the alcoholic beverage control commission, ''employer'' shall mean the state treasurer or his designee.  \r\n\r\n''Employee organization'', any lawful association, organization, federation, council, or labor union, the membership of which includes public employees, and assists its members to improve their wages, hours, and conditions of employment.  \r\n\r\n''Employer'' or ''public employer'', the commonwealth acting through the commissioner of administration, or any county, city, town, district, or other political subdivision acting through its chief executive officer, and any individual who is designated to represent one of these employers and act in its interest in dealing with public employees, but excluding authorities created pursuant to chapter one hundred and sixty-one A and those authorities included under the provisions of chapter seven hundred and sixty of the acts of nineteen hundred and sixty-two. In the case of school employees, the municipal employer shall be represented by the school committee or its designated representative or representatives. For this purpose, the chief executive officer of a city or town or his designee shall participate and vote as a member of the city or town school committee; provided, however, that if there is no town manager or town administrator in a town, the chairman of the board of selectmen or his designee shall so participate and vote. In the case of a regional school district, said chief executive officers or chairmen of boards of selectmen, as the case may be, of the member cities and towns shall, in accordance with regulations to be promulgated by the board of education, elect one of their number to represent them pursuant to the requirements of this section. In the case of employees of the system of public institutions of higher education, the employer shall mean the board of higher education or any individual who is designated to represent it and act in its interest in dealing with employees, except that the employer of employees of the University of Massachusetts shall be the board of trustees of the university or any individual who is designated to represent it and act in its interest in dealing with employees. In the case of judicial employees, the employer shall be the court administrator of the trial court or any individual who is designated by him to represent him or act in his interest in dealing with judicial employees. In the case of employees of the state lottery commission, employer shall mean the state lottery commission or its designee. In the case of employees of the Massachusetts Water Resources Authority, the employer shall mean the Massachusetts Water Resources Authority. In the case of employees of the Suffolk county sheriff's department, employer shall mean the sheriff of Suffolk county or any individual who is designated by him to represent him or act in his interest in dealing with such employees. In the case of personal care attendants as defined in section 70 of chapter 118E, the employer shall mean the PCA quality home care workforce council or its designee as defined in section 71 of chapter 118E. In the case of employees of the Massachusetts Department of Transportation, ''employer'' shall mean the Massachusetts Department of Transportation or any individual designated by the board of that department to represent it or act in its interest in dealing with employees.  \r\n\r\n''Incremental cost items'', the provisions of a collective bargaining agreement that require, in respect of any fiscal year, an appropriation by a legislative body that is greater than the appropriation so required in the preceding fiscal year; provided, however, that in respect of the first fiscal year or portion thereof during which an agreement has effect, ''incremental cost items'' shall mean the provisions of a collective agreement that require an appropriation by a legislative body of monies that are newly required by the employer to discharge the obligations arising under the terms of such agreement.  \r\n\r\n''Legislative body'', the general court in the case of the commonwealth or a county, the city council or town meeting in the case of a city, town or district, or any body which has the power of appropriation with respect to an employer as defined in this chapter.  \r\n\r\n''Professional employee'', any employee engaged in work (i) predominantly intellectual and varied in character as opposed to routine mental, manual, mechanical, or physical work, (ii) involving the consistent exercise of discretion and judgment in its performance, (iii) of such a character that the output produced or the result accomplished cannot be standardized in relation to a given period of time, and (iv) requiring knowledge of an advanced type in a field of science or learning customarily acquired by a prolonged course of specialized intellectual instruction and study in an institution of higher learning or a hospital, as distinguished from a general academic education or from an apprenticeship or from training in the performance of routine mental, manual or physical processes.  Professional employee shall include a detective, member of a detective bureau or police officer who is primarily engaged in investigative work in any city or town police department which employs more than four hundred people.  \r\n\r\n''Strike'', a public employee's refusal, in concerted action with others, to report for duty, or his wilful absence from his position, or his stoppage of work, or his abstinence in whole or in part from the performance of the duties of employment as established by an existing collective bargaining agreement or in a collective bargaining agreement expiring immediately preceding the alleged strike, or in the absence of any such agreement, by written personnel policies in effect at least one year prior to the alleged strike; provided that nothing herein shall limit or impair the right of any public employee to express or communicate a complaint or opinion on any matter related to conditions of employment.  \r\n\r\n''Written majority authorization'', writings signed and dated by employees in the form of authorization cards, petitions, or such other written evidence that the commission finds suitable, in which a majority of employees in an appropriate bargaining unit designates an employee organization as its representative for the purpose of collective bargaining and certifies the designation to be its free act and deed and given without consideration. Employee signatures shall be dated within the 12 months preceding the date on which the writings are proffered to establish majority and exclusive representative status within the meaning of section 4.   \r\n\r\n"", ""Section 23. (a) In addition to the other provisions of this chapter, and in supplement thereto, standards of conduct, as hereinafter set forth, are hereby established for all state, county, and municipal employees.  \r\n\r\n(b) No current officer or employee of a state, county or municipal agency shall knowingly, or with reason to know:  \r\n\r\n(1) accept other employment involving compensation of substantial value, the responsibilities of which are inherently incompatible with the responsibilities of his public office;  \r\n\r\n(2) (i) solicit or receive anything of substantial value for such officer or employee, which is not otherwise authorized by statute or regulation, for or because of the officer or employee's official position; or (ii) use or attempt to use such official position to secure for such officer, employee or others unwarranted privileges or exemptions which are of substantial value and which are not properly available to similarly situated individuals;  \r\n\r\n(3) act in a manner which would cause a reasonable person, having knowledge of the relevant circumstances, to conclude that any person can improperly influence or unduly enjoy his favor in the performance of his official duties, or that he is likely to act or fail to act as a result of kinship, rank, position or undue influence of any party or person. It shall be unreasonable to so conclude if such officer or employee has disclosed in writing to his appointing authority or, if no appointing authority exists, discloses in a manner which is public in nature, the facts which would otherwise lead to such a conclusion; or  \r\n\r\n(4) present a false or fraudulent claim to his employer for any payment or benefit of substantial value.  \r\n\r\n(c) No current or former officer or employee of a state, county or municipal agency shall knowingly, or with reason to know:  \r\n\r\n(1) accept employment or engage in any business or professional activity which will require him to disclose confidential information which he has gained by reason of his official position or authority;  \r\n\r\n(2) improperly disclose materials or data within the exemptions to the definition of public records as defined by section seven of chapter four, and were acquired by him in the course of his official duties nor use such information to further his personal interest.  \r\n\r\n(d) Any activity specifically exempted from any of the prohibitions in any other section of this chapter shall also be exempt from the provisions of this section. The state ethics commission, established by chapter two hundred and sixty-eight B, shall not enforce the provisions of this section with respect to any such exempted activity.  \r\n\r\n(e) Where a current employee is found to have violated the provisions of this section, appropriate administrative action as is warranted may also be taken by the appropriate constitutional officer, by the head of a state, county or municipal agency. Nothing in this section shall preclude any such constitutional officer or head of such agency from establishing and enforcing additional standards of conduct.  \r\n\r\n(f) The state ethics commission shall adopt regulations: (i) defining substantial value; provided, however, that substantial value shall not be less than $50; (ii) establishing exclusions for ceremonial privileges and exemptions; (iii) establishing exclusions for privileges and exemptions given solely because of family or friendship; and (iv) establishing additional exclusions for other situations that do not present a genuine risk of a conflict or the appearance of a conflict of interest.   \r\n\r\n""]","Section 1. The following words and phrases as used in this chapter shall have the following meaning unless the context clearly requires otherwise:&mdash;  

''Board'', the board of conciliation and arbitration established under section seven of chapter twenty-three.  

''Commission'', the labor relations commission established under section nine O of chapter twenty-three.  

''Cost items'', the provisions of a collective bargaining agreement which require an appropriation by a legislative body.  

''Employee'' or ''public employee'', any person in the executive or judicial branch of a government unit employed by a public employer except elected officials, appointed officials, members of any board or commission, representatives of any public employer, including the heads, directors and executive and administrative officers of departments and agencies of any public employer, and other managerial employees or confidential employees, and members of the militia or national guard and employees of the commission, and officers and employees within the departments of the state secretary, state treasurer, state auditor and attorney general.  Employees shall be designated as managerial employees only if they (a) participate to a substantial degree in formulating or determining policy, or (b) assist to a substantial degree in the preparation for or the conduct of collective bargaining on behalf of a public employer, or (c) have a substantial responsibility involving the exercise of independent judgment of an appellate responsibility not initially in effect in the administration of a collective bargaining agreement or in personnel administration. Employees shall be designated as confidential employees only if they directly assist and act in a confidential capacity to a person or persons otherwise excluded from coverage under this chapter. In the case of employees of the alcoholic beverage control commission, ''employer'' shall mean the state treasurer or his designee.  

''Employee organization'', any lawful association, organization, federation, council, or labor union, the membership of which includes public employees, and assists its members to improve their wages, hours, and conditions of employment.  

''Employer'' or ''public employer'', the commonwealth acting through the commissioner of administration, or any county, city, town, district, or other political subdivision acting through its chief executive officer, and any individual who is designated to represent one of these employers and act in its interest in dealing with public employees, but excluding authorities created pursuant to chapter one hundred and sixty-one A and those authorities included under the provisions of chapter seven hundred and sixty of the acts of nineteen hundred and sixty-two. In the case of school employees, the municipal employer shall be represented by the school committee or its designated representative or representatives. For this purpose, the chief executive officer of a city or town or his designee shall participate and vote as a member of the city or town school committee; provided, however, that if there is no town manager or town administrator in a town, the chairman of the board of selectmen or his designee shall so participate and vote. In the case of a regional school district, said chief executive officers or chairmen of boards of selectmen, as the case may be, of the member cities and towns shall, in accordance with regulations to be promulgated by the board of education, elect one of their number to represent them pursuant to the requirements of this section. In the case of employees of the system of public institutions of higher education, the employer shall mean the board of higher education or any individual who is designated to represent it and act in its interest in dealing with employees, except that the employer of employees of the University of Massachusetts shall be the board of trustees of the university or any individual who is designated to represent it and act in its interest in dealing with employees. In the case of judicial employees, the employer shall be the court administrator of the trial court or any individual who is designated by him to represent him or act in his interest in dealing with judicial employees. In the case of employees of the state lottery commission, employer shall mean the state lottery commission or its designee. In the case of employees of the Massachusetts Water Resources Authority, the employer shall mean the Massachusetts Water Resources Authority. In the case of employees of the Suffolk county sheriff's department, employer shall mean the sheriff of Suffolk county or any individual who is designated by him to represent him or act in his interest in dealing with such employees. In the case of personal care attendants as defined in section 70 of chapter 118E, the employer shall mean the PCA quality home care workforce council or its designee as defined in section 71 of chapter 118E. In the case of employees of the Massachusetts Department of Transportation, ''employer'' shall mean the Massachusetts Department of Transportation or any individual designated by the board of that department to represent it or act in its interest in dealing with employees.  

''Incremental cost items'', the provisions of a collective bargaining agreement that require, in respect of any fiscal year, an appropriation by a legislative body that is greater than the appropriation so required in the preceding fiscal year; provided, however, that in respect of the first fiscal year or portion thereof during which an agreement has effect, ''incremental cost items'' shall mean the provisions of a collective agreement that require an appropriation by a legislative body of monies that are newly required by the employer to discharge the obligations arising under the terms of such agreement.  

''Legislative body'', the general court in the case of the commonwealth or a county, the city council or town meeting in the case of a city, town or district, or any body which has the power of appropriation with respect to an employer as defined in this chapter.  

''Professional employee'', any employee engaged in work (i) predominantly intellectual and varied in character as opposed to routine mental, manual, mechanical, or physical work, (ii) involving the consistent exercise of discretion and judgment in its performance, (iii) of such a character that the output produced or the result accomplished cannot be standardized in relation to a given period of time, and (iv) requiring knowledge of an advanced type in a field of science or learning customarily acquired by a prolonged course of specialized intellectual instruction and study in an institution of higher learning or a hospital, as distinguished from a general academic education or from an apprenticeship or from training in the performance of routine mental, manual or physical processes.  Professional employee shall include a detective, member of a detective bureau or police officer who is primarily engaged in investigative work in any city or town police department which employs more than four hundred people.  

''Strike'', a public employee's refusal, in concerted action with others, to report for duty, or his wilful absence from his position, or his stoppage of work, or his abstinence in whole or in part from the performance of the duties of employment as established by an existing collective bargaining agreement or in a collective bargaining agreement expiring immediately preceding the alleged strike, or in the absence of any such agreement, by written personnel policies in effect at least one year prior to the alleged strike; provided that nothing herein shall limit or impair the right of any public employee to express or communicate a complaint or opinion on any matter related to conditions of employment.  

''Written majority authorization'', writings signed and dated by employees in the form of authorization cards, petitions, or such other written evidence that the commission finds suitable, in which a majority of employees in an appropriate bargaining unit designates an employee organization as its representative for the purpose of collective bargaining and certifies the designation to be its free act and deed and given without consideration. Employee signatures shall be dated within the 12 months preceding the date on which the writings are proffered to establish majority and exclusive representative status within the meaning of section 4.   

 Section 23. (a) In addition to the other provisions of this chapter, and in supplement thereto, standards of conduct, as hereinafter set forth, are hereby established for all state, county, and municipal employees.  

(b) No current officer or employee of a state, county or municipal agency shall knowingly, or with reason to know:  

(1) accept other employment involving compensation of substantial value, the responsibilities of which are inherently incompatible with the responsibilities of his public office;  

(2) (i) solicit or receive anything of substantial value for such officer or employee, which is not otherwise authorized by statute or regulation, for or because of the officer or employee's official position; or (ii) use or attempt to use such official position to secure for such officer, employee or others unwarranted privileges or exemptions which are of substantial value and which are not properly available to similarly situated individuals;  

(3) act in a manner which would cause a reasonable person, having knowledge of the relevant circumstances, to conclude that any person can improperly influence or unduly enjoy his favor in the performance of his official duties, or that he is likely to act or fail to act as a result of kinship, rank, position or undue influence of any party or person. It shall be unreasonable to so conclude if such officer or employee has disclosed in writing to his appointing authority or, if no appointing authority exists, discloses in a manner which is public in nature, the facts which would otherwise lead to such a conclusion; or  

(4) present a false or fraudulent claim to his employer for any payment or benefit of substantial value.  

(c) No current or former officer or employee of a state, county or municipal agency shall knowingly, or with reason to know:  

(1) accept employment or engage in any business or professional activity which will require him to disclose confidential information which he has gained by reason of his official position or authority;  

(2) improperly disclose materials or data within the exemptions to the definition of public records as defined by section seven of chapter four, and were acquired by him in the course of his official duties nor use such information to further his personal interest.  

(d) Any activity specifically exempted from any of the prohibitions in any other section of this chapter shall also be exempt from the provisions of this section. The state ethics commission, established by chapter two hundred and sixty-eight B, shall not enforce the provisions of this section with respect to any such exempted activity.  

(e) Where a current employee is found to have violated the provisions of this section, appropriate administrative action as is warranted may also be taken by the appropriate constitutional officer, by the head of a state, county or municipal agency. Nothing in this section shall preclude any such constitutional officer or head of such agency from establishing and enforcing additional standards of conduct.  

(f) The state ethics commission shall adopt regulations: (i) defining substantial value; provided, however, that substantial value shall not be less than $50; (ii) establishing exclusions for ceremonial privileges and exemptions; (iii) establishing exclusions for privileges and exemptions given solely because of family or friendship; and (iv) establishing additional exclusions for other situations that do not present a genuine risk of a conflict or the appearance of a conflict of interest.   

",12170.0
1,1,An Act relative to the open meeting law,H3121,HD2204,"	SECTION 18 of chapter 30A of the General Laws, is hereby amended in the definition of ""Public Body"", by striking the phrase ""the general court or the committees or recess commissions thereof"".
","[['18', '30A']]","[""Section 18. As used in this section and sections 19 to 25, inclusive, the following words shall, unless the context clearly requires otherwise, have the following meanings:  \r\n\r\n''Deliberation'', an oral or written communication through any medium, including electronic mail, between or among a quorum of a public body on any public business within its jurisdiction; provided, however, that ''deliberation'' shall not include the distribution of a meeting agenda, scheduling information or distribution of other procedural meeting or the distribution of reports or documents that may be discussed at a meeting, provided that no opinion of a member is expressed.  \r\n\r\n''Emergency'', a sudden, generally unexpected occurrence or set of circumstances demanding immediate action.  \r\n\r\n''Executive session'', any part of a meeting of a public body closed to the public for deliberation of certain matters.  \r\n\r\n''Intentional violation'', an act or omission by a public body or a member thereof, in knowing violation of the open meeting law.  \r\n\r\n''Meeting'', a deliberation by a public body with respect to any matter within the body's jurisdiction; provided, however, ''meeting'' shall not include:  \r\n\r\n(a) an on-site inspection of a project or program, so long as the members do not deliberate;  \r\n\r\n(b) attendance by a quorum of a public body at a public or private gathering, including a conference or training program or a media, social or other event, so long as the members do not deliberate;  \r\n\r\n(c) attendance by a quorum of a public body at a meeting of another public body that has complied with the notice requirements of the open meeting law, so long as the visiting members communicate only by open participation in the meeting on those matters under discussion by the host body and do not deliberate;  \r\n\r\n(d) a meeting of a quasi-judicial board or commission held for the sole purpose of making a decision required in an adjudicatory proceeding brought before it; or  \r\n\r\n(e) a session of a town meeting convened under section 9 of chapter 39 which would include the attendance by a quorum of a public body at any such session.  \r\n\r\n''Minutes'', the written report of a meeting created by a public body required by subsection (a) of section 22 and section 5A of chapter 66.  \r\n\r\n''Open meeting law'', sections 18 to 25, inclusive.  \r\n\r\n''Post notice'', to display conspicuously the written announcement of a meeting either in hard copy or electronic format.  \r\n\r\n''Preliminary screening'', the initial stage of screening applicants conducted by a committee or subcommittee of a public body solely for the purpose of providing to the public body a list of those applicants qualified for further consideration or interview.  \r\n\r\n''Public body'', a multiple-member board, commission, committee or subcommittee within the executive or legislative branch or within any county, district, city, region or town, however created, elected, appointed or otherwise constituted, established to serve a public purpose; provided, however, that the governing board of a local housing, redevelopment or other similar authority shall be deemed a local public body; provided, further, that the governing board or body of any other authority established by the general court to serve a public purpose in the commonwealth or any part thereof shall be deemed a state public body; provided, further, that ''public body'' shall not include the general court or the committees or recess commissions thereof, bodies of the judicial branch or bodies appointed by a constitutional officer solely for the purpose of advising a constitutional officer and shall not include the board of bank incorporation or the policyholders protective board; and provided further, that a subcommittee shall include any multiple-member body created to advise or make recommendations to a public body.  \r\n\r\n''Quorum'', a simple majority of the members of the public body, unless otherwise provided in a general or special law, executive order or other authorizing provision.   \r\n\r\n""]","Section 18. As used in this section and sections 19 to 25, inclusive, the following words shall, unless the context clearly requires otherwise, have the following meanings:  

''Deliberation'', an oral or written communication through any medium, including electronic mail, between or among a quorum of a public body on any public business within its jurisdiction; provided, however, that ''deliberation'' shall not include the distribution of a meeting agenda, scheduling information or distribution of other procedural meeting or the distribution of reports or documents that may be discussed at a meeting, provided that no opinion of a member is expressed.  

''Emergency'', a sudden, generally unexpected occurrence or set of circumstances demanding immediate action.  

''Executive session'', any part of a meeting of a public body closed to the public for deliberation of certain matters.  

''Intentional violation'', an act or omission by a public body or a member thereof, in knowing violation of the open meeting law.  

''Meeting'', a deliberation by a public body with respect to any matter within the body's jurisdiction; provided, however, ''meeting'' shall not include:  

(a) an on-site inspection of a project or program, so long as the members do not deliberate;  

(b) attendance by a quorum of a public body at a public or private gathering, including a conference or training program or a media, social or other event, so long as the members do not deliberate;  

(c) attendance by a quorum of a public body at a meeting of another public body that has complied with the notice requirements of the open meeting law, so long as the visiting members communicate only by open participation in the meeting on those matters under discussion by the host body and do not deliberate;  

(d) a meeting of a quasi-judicial board or commission held for the sole purpose of making a decision required in an adjudicatory proceeding brought before it; or  

(e) a session of a town meeting convened under section 9 of chapter 39 which would include the attendance by a quorum of a public body at any such session.  

''Minutes'', the written report of a meeting created by a public body required by subsection (a) of section 22 and section 5A of chapter 66.  

''Open meeting law'', sections 18 to 25, inclusive.  

''Post notice'', to display conspicuously the written announcement of a meeting either in hard copy or electronic format.  

''Preliminary screening'', the initial stage of screening applicants conducted by a committee or subcommittee of a public body solely for the purpose of providing to the public body a list of those applicants qualified for further consideration or interview.  

''Public body'', a multiple-member board, commission, committee or subcommittee within the executive or legislative branch or within any county, district, city, region or town, however created, elected, appointed or otherwise constituted, established to serve a public purpose; provided, however, that the governing board of a local housing, redevelopment or other similar authority shall be deemed a local public body; provided, further, that the governing board or body of any other authority established by the general court to serve a public purpose in the commonwealth or any part thereof shall be deemed a state public body; provided, further, that ''public body'' shall not include the general court or the committees or recess commissions thereof, bodies of the judicial branch or bodies appointed by a constitutional officer solely for the purpose of advising a constitutional officer and shall not include the board of bank incorporation or the policyholders protective board; and provided further, that a subcommittee shall include any multiple-member body created to advise or make recommendations to a public body.  

''Quorum'', a simple majority of the members of the public body, unless otherwise provided in a general or special law, executive order or other authorizing provision.   

",4047.0
2,2,An Act relative to vehicle recalls,H400,HD1240,"	SECTION 1. Chapter 90 of the General Laws, as appearing in the 2020 Official Edition, is hereby amended by inserting, after Section 7A, the following new section:-
	Section 7A 1/2. (a) As used in this section, the following words shall, unless the context clearly requires otherwise, have the following meanings:-
	“Open safety recall”, means a safety related recall for which notification by a manufacturer has been provided under Title 49 of the United States Code, section 30119, that necessitates repairs or modifications to the vehicle be performed by an authorized dealer; provided, however, shall not apply to: (i) recalls related to defects or failures to comply with requirements relating to labeling or notifications in an owner’s manual; or (ii) recalls where the remedy is for the manufacturer to repurchase the vehicle or otherwise provide financial compensation to the vehicle owner.
	“Registration”, means the registration, renewal or transfer of registration of a motor vehicle.
	(b) The registry of motor vehicles shall, prior to issuing a motor vehicle registration or mailing a motor vehicle registration renewal notice, check information made available by the National Highway Traffic Safety Administration to determine whether the motor vehicle is subject to an open safety recall. For a vehicle that is subject to one or more open safety recalls, the Registrar shall provide the owner of the motor vehicle written notice of all open safety recalls applicable to the motor vehicle. The recall notice shall be provided at the time the vehicle is registered, except that for registration renewals, the recall notice shall be included in the registration renewal notice.
	The recall notice shall include: (i) a description of each open safety recall; (ii) a statement that each open safety recall may be repaired by a motor vehicle dealer approved by the manufacturer of the motor vehicle at no cost to the owner of the motor vehicle, except as provided in 49 U.S.C. section 30120; and (iii) a statement that, except as provided in subsection
	(e), the Registrar shall not issue a registration certificate for a motor vehicle until each open safety recall is repaired in compliance with the provisions of subsection (c).
	(c) Notwithstanding any provision of law to the contrary, after an owner of a motor vehicle receives notice that the motor vehicle is subject to one or more open safety recalls pursuant to subsection (b), the owner shall obtain the necessary repairs before the motor vehicle’s next registration renewal. The Registrar shall deny an application for registration renewal for any motor vehicle that has failed to receive repairs necessary to remedy an open safety recall within the time period established by this section.
	(d) The Registrar shall send a notice to consumers between 50 and 80 calendar days before the expiration of their registration listing open safety recalls that need to be remedied in order to reregister their vehicle.
	(e) The Registrar shall not deny the registration of a motor vehicle subject to an open safety recall if any of the following exemptions occurs:
	(i) the vehicle manufacturer has not made a remedy available;
	(ii) the necessary replacement parts are not readily available to the manufacturer’s state dealer network to remedy the recall;
	(iii) the vehicle requires repairs that are not covered by a recall in order to enable the application of the remedy;
	(iv) the customer has installed aftermarket modifications that prevent the application of the remedy; or
	(v) the Registrar determines that there were circumstances beyond the control of the owner or undue hardship that prevented the consumer from having the recall remedied.
	(f) Nothing in this section shall alter the liability of any manufacturer or motor vehicle franchise dealer under common law.
",,"[None, None, None, None]",none,
